amp scraper aws_prometheus_scraper
iam group_policy_attachments_exclusive aws_iam_group_policy_attachments_exclusive
iam organizations_features aws_iam_organizations_features
iam role_policies_exclusive aws_iam_role_policies_exclusive
iam role_policy_attachments_exclusive aws_iam_role_policy_attachments_exclusive
iam user_policies_exclusive aws_iam_user_policies_exclusive
iam user_policy_attachments_exclusive aws_iam_user_policy_attachments_exclusive
imagebuilder lifecycle_policy aws_imagebuilder_lifecycle_policy
iot billing_group aws_iot_billing_group
kafka single_scram_secret_association aws_msk_single_scram_secret_association
kinesis resource_policy aws_kinesis_resource_policy
lakeformation data_cells_filter aws_lakeformation_data_cells_filter
lakeformation resource_lf_tag aws_lakeformation_resource_lf_tag
lambda function_recursion_config aws_lambda_function_recursion_config
lambda runtime_management_config aws_lambda_runtime_management_config
lexv2models bot aws_lexv2models_bot
lexv2models bot_locale aws_lexv2models_bot_locale
lexv2models bot_version aws_lexv2models_bot_version
lexv2models intent aws_lexv2models_intent
lexv2models slot aws_lexv2models_slot
lexv2models slot_type aws_lexv2models_slot_type
logs anomaly_detector aws_cloudwatch_log_anomaly_detector
m2 application aws_m2_application
m2 deployment aws_m2_deployment
m2 environment aws_m2_environment
medialive multiplex_program aws_medialive_multiplex_program
memorydb multi_region_cluster aws_memorydb_multi_region_cluster
networkfirewall tls_inspection_configuration aws_networkfirewall_tls_inspection_configuration
networkmanager dx_gateway_attachment aws_networkmanager_dx_gateway_attachment
networkmonitor monitor aws_networkmonitor_monitor
networkmonitor probe aws_networkmonitor_probe
opensearch authorize_vpc_endpoint_access aws_opensearch_authorize_vpc_endpoint_access
opensearchserverless access_policy aws_opensearchserverless_access_policy
opensearchserverless collection aws_opensearchserverless_collection
opensearchserverless lifecycle_policy aws_opensearchserverless_lifecycle_policy
opensearchserverless security_config aws_opensearchserverless_security_config
opensearchserverless security_policy aws_opensearchserverless_security_policy
opensearchserverless vpc_endpoint aws_opensearchserverless_vpc_endpoint
osis pipeline aws_osis_pipeline
paymentcryptography key aws_paymentcryptography_key
paymentcryptography key_alias aws_paymentcryptography_key_alias
pinpoint email_template aws_pinpoint_email_template
pinpointsmsvoicev2 configuration_set aws_pinpointsmsvoicev2_configuration_set
pinpointsmsvoicev2 opt_out_list aws_pinpointsmsvoicev2_opt_out_list
pinpointsmsvoicev2 phone_number aws_pinpointsmsvoicev2_phone_number
quicksight folder_membership aws_quicksight_folder_membership
quicksight iam_policy_assignment aws_quicksight_iam_policy_assignment
quicksight ingestion aws_quicksight_ingestion
quicksight namespace aws_quicksight_namespace
quicksight refresh_schedule aws_quicksight_refresh_schedule
quicksight template_alias aws_quicksight_template_alias
quicksight vpc_connection aws_quicksight_vpc_connection
rds cluster_snapshot_copy aws_rds_cluster_snapshot_copy
rds export_task aws_rds_export_task
rds instance_state aws_rds_instance_state
rds integration aws_rds_integration
redshift data_share_authorization aws_redshift_data_share_authorization
redshift data_share_consumer_association aws_redshift_data_share_consumer_association
redshift logging aws_redshift_logging
redshift snapshot_copy aws_redshift_snapshot_copy
redshiftserverless custom_domain_association aws_redshiftserverless_custom_domain_association
rekognition collection aws_rekognition_collection
rekognition project aws_rekognition_project
rekognition stream_processor aws_rekognition_stream_processor
resiliencehub resiliency_policy aws_resiliencehub_resiliency_policy
resourceexplorer2 index aws_resourceexplorer2_index
resourceexplorer2 view aws_resourceexplorer2_view
route53 cidr_collection aws_route53_cidr_collection
route53 cidr_location aws_route53_cidr_location
route53domains delegation_signer_record aws_route53domains_delegation_signer_record
route53profiles association aws_route53profiles_association
route53profiles profile aws_route53profiles_profile
route53profiles resource_association aws_route53profiles_resource_association
s3 directory_bucket aws_s3_directory_bucket
s3control access_grant aws_s3control_access_grant
s3control access_grants_instance aws_s3control_access_grants_instance
s3control access_grants_instance_resource_policy aws_s3control_access_grants_instance_resource_policy
s3control access_grants_location aws_s3control_access_grants_location
s3tables namespace aws_s3tables_namespace
s3tables table aws_s3tables_table
s3tables table_bucket aws_s3tables_table_bucket
s3tables table_bucket_policy aws_s3tables_table_bucket_policy
s3tables table_policy aws_s3tables_table_policy
securityhub automation_rule aws_securityhub_automation_rule
securityhub standards_control_association aws_securityhub_standards_control_association
securitylake aws_log_source aws_securitylake_aws_log_source
securitylake custom_log_source aws_securitylake_custom_log_source
securitylake data_lake aws_securitylake_data_lake
securitylake subscriber aws_securitylake_subscriber
securitylake subscriber_notification aws_securitylake_subscriber_notification
servicecatalogappregistry application aws_servicecatalogappregistry_application
servicecatalogappregistry attribute_group aws_servicecatalogappregistry_attribute_group
servicecatalogappregistry attribute_group_association aws_servicecatalogappregistry_attribute_group_association
servicequotas template aws_servicequotas_template
servicequotas template_association aws_servicequotas_template_association
sesv2 account_suppression_attributes aws_sesv2_account_suppression_attributes
shield application_layer_automatic_response aws_shield_application_layer_automatic_response
shield drt_access_log_bucket_association aws_shield_drt_access_log_bucket_association
shield drt_access_role_arn_association aws_shield_drt_access_role_arn_association
shield proactive_engagement aws_shield_proactive_engagement
shield subscription aws_shield_subscription
simpledb domain aws_simpledb_domain
ssmcontacts rotation aws_ssmcontacts_rotation
ssmquicksetup configuration_manager aws_ssmquicksetup_configuration_manager
ssoadmin application aws_ssoadmin_application
ssoadmin application_access_scope aws_ssoadmin_application_access_scope
ssoadmin application_assignment aws_ssoadmin_application_assignment
ssoadmin application_assignment_configuration aws_ssoadmin_application_assignment_configuration
ssoadmin trusted_token_issuer aws_ssoadmin_trusted_token_issuer
timestreaminfluxdb db_instance aws_timestreaminfluxdb_db_instance
verifiedpermissions identity_source aws_verifiedpermissions_identity_source
verifiedpermissions policy aws_verifiedpermissions_policy
verifiedpermissions policy_store aws_verifiedpermissions_policy_store
verifiedpermissions policy_template aws_verifiedpermissions_policy_template
verifiedpermissions schema aws_verifiedpermissions_schema
workspaces connection_alias aws_workspaces_connection_alias
